model,url,status
LAND CRUISER 300,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=LAND+CRUISER+300&ssd=%24%2AKwGt9_CUrqisAAAAAKkbB-Q%3D%24,FAILED
CAMRY,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=CAMRY&ssd=%24%2AKwEvdXIWLi8AAAAAjlsbAg%3D%3D%24,FAILED
CAMRY GRACIA,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=CAMRY+GRACIA&ssd=%24%2AKwFAGh15QUcAAAAAFPsO1A%3D%3D%24,FAILED
CAMRY HYBRID,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=CAMRY+HYBRID&ssd=%24%2AKwEbQUYiGh0AAAAA9SyFiQ%3D%3D%24,FAILED
COROLLA,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA&ssd=%24%2AKwG-5OOHuLUAAAAArNEWYg%3D%3D%24,FAILED
COROLLA 2,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+2&ssd=%24%2AKwGXzcqukZ0AAAAA-1Xx3Q%3D%3D%24,FAILED
COROLLA ALLEX,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+ALLEX&ssd=%24%2AKwHCmJ_7xcEAAAAAIQgnIg%3D%3D%24,FAILED
COROLLA ALTIS,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+ALTIS&ssd=%24%2AKwG27OuPsbQAAAAA8cOvKw%3D%3D%24,FAILED
COROLLA AXIO,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+AXIO&ssd=%24%2AKwG-5OOHub8AAAAAVR_OPQ%3D%3D%24,FAILED
COROLLA CERES,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+CERES&ssd=%24%2AKwFvNTJWaG8AAAAA7dk_pQ%3D%3D%24,FAILED
COROLLA CROSS,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+CROSS&ssd=%24%2AKwE4YmUBPz8AAAAAxlK5Nw%3D%3D%24,FAILED
COROLLA FIELDER,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+FIELDER&ssd=%24%2AKwFzKS5KdHUAAAAAXC9TMg%3D%3D%24,FAILED
COROLLA LEVIN,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+LEVIN&ssd=%24%2AKwEQSk0pFxUAAAAA4t0qBw%3D%3D%24,FAILED
COROLLA MATRIX,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+MATRIX&ssd=%24%2AKwHutLPX6eoAAAAAawfYyw%3D%3D%24,FAILED
COROLLA RUMION,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+RUMION&ssd=%24%2AKwEKUFczDQEAAAAATG8a3w%3D%3D%24,FAILED
COROLLA RUNX,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+RUNX&ssd=%24%2AKwGj-f6apKkAAAAAcFr7Ig%3D%3D%24,FAILED
COROLLA SPACIO,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+SPACIO&ssd=%24%2AKwEyaG8LNjEAAAAA2LJSag%3D%3D%24,FAILED
COROLLA SPRINTER,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+SPRINTER&ssd=%24%2AKwFPFRJ2S00AAAAA367P-g%3D%3D%24,FAILED
COROLLA VERSO,https://partsouq.com/en/catalog/genuine/pick?c=Toyota&model=COROLLA+VERSO&ssd=%24%2AKwFKEBdzTksAAAAAsk8jIw%3D%3D%24,FAILED
