model,year,destination,specification_name,description,variant,options,production_period,url,status
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",GUN110R-ATTHXT3,"ATM,MTM: AUTOMATIC TRANSMISSION;",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwGqno-i-ffzqrXe-9GrpPLmxsHfrqGsrb-Qo-vt3srW0tDTloGtx-nt6djO18aAnZeqo9bW1MzGvIKHktXJ4Onx_d7n46ywuqO-va6uqK7w__G0ubz27LukvOOfksrY0720ubzxou3puLvZytaor6yT4pLMzdbHzKq8sOHtpfu7pL-6oKuolu3_uLv49vy7pLz1sgAAAADkmBPw%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",GUN120R-ATTHXT,"ATM,MTM: AUTOMATIC TRANSMISSION;",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwFNeWhRPUssOhwOFRB2HBUBISY4SUZLSlh3RAwKOS0xNTc0cWZKIA4KDj8pMCFnenBNRDExMyshW2VgdTIuBw4WGjkABEtXXURZWklJT0kXGBZTXlsRC1xDWwR4dS0_NFpTXlsWRQoOX1w-LTFPS0t0BXUrKjEgK1xVWwReV11EWVpGS00sBAQUXRgQHF1EWUJbAAAAALQYvvs%3D%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",GUN122R-ATMHXT,"ATM,MTM: MANUAL TRANSMISSION; Bu",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwGsmInk_9jeqc7r09arhPTgwMfZqKeqq7mWpe3r2MzQ1NbVkIerwe_r797I0cCGm5GspdDQ0srAuoSBlNPP5u_3-9jh5aq2vKW4u6iorqj2-feyv7rw6r2iuuWZlMze1buyv7r3pOvvvr3fzNCuqqiV5JTK0tDByr20uuW_tryluLunqqzN5eX1vPnx_byluKv1tAAAAADMvN-K%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",GUN122R-ATMHXT3,"ATM,MTM: MANUAL TRANSMISSION; Bu",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwEIPC0IeXxbWFVfBHohJFBEZGN9DAMODx0yAUlPfGh0cHJxNCMPZUtPS3psdWQiPzUIAXR0dm5kHiAlMHdrQktTX3xFQQ4SGAEcHwwMCgxSXVMWGx5UThkGHkE9MGh6cR8WGx5TAE9LGhl7aHQKDgwxQDBudnRlbggeEkNPB1kZBh0YAgkKNE9dGhlaVF4ZBh5SXgwAAAAAp3JuIQ%3D%3D%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",TGN110R-ATMHKT,"ATM,MTM: MANUAL TRANSMISSION; Bu",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwEcKDk2FnwZRntNcXM5HkRQcHdpGBcaGwkmFV1baHxgZGZlIDcbcV9bX254YXA2KyEcFWBgYnpwCjQxJGN_Vl9HS2hRVRoGDBUICxgYHhhGSUcCDwpAWg0SClUpJHxuZQsCDwpHFFtfDg18bmAeGRolVCR6YmBieg0EClUPBgwVCAsXGhx9VVVFDElBTQwVCBtBBAAAAAAAknEK%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",TGN111R-ATTHKT,"ATM,MTM: AUTOMATIC TRANSMISSION;",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwExBRQNYTRsRkYzYU4XEWl9XVpENTo3NiQLOHB2RVFNSUtIDRo2XHJ2ckNVTF0bBgwxOE1NT1ddJxkcCU5Se3JqZkV8eDcrITglJjU1MzVrZGovIidtdyA_J3gECVFDSCYvIidqOXZyIyBRQ00zNDYIeQlXVk1PVyApJ3giKyE4JSY6NzFQeHhoIWRsYCE4JTVqKQAAAABupzPN%24&vid=0&q=,DONE
HILUX CHAMP,2025,THAILAND,HILUX CHAMP,"GUN1##,TGN11#",TGN111R-ATTHKT3,"ATM,MTM: AUTOMATIC TRANSMISSION;",12.2023 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwFabn9IUBksBz88NzZlfgIWNjEvXlFcXU9gUxsdLjomIiAjZnFdNxkdGSg-JzZwbWdaUyYmJDw2THJ3YiU5EBkBDS4XE1xASlNOTV5eWF4ADwFESUwGHEtUTBNvYjooI01ESUwBUh0ZSEs6KCZYX11jEmI8PSYkPFpMQBEdVQtLVE9KUFtYZh0PSEsIBgxLVEwDDl4AAAAAFJ8lYg%3D%3D%24&vid=0&q=,DONE
LAND CRUISER,2016,GULF CORPORATION COUNCIL,LAND CRUISER,"FZJ7#,GDJ7#,GDJL7#,GRJ7#,HZJ7#,VDJ7#,VDJL7#",GRJ71L-KJMRKV,"ATM,MTM: MANUAL TRANSMISSION; Bu",11.2009 - 08.2016,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwE8CBkiYCJCemlLRGghDGRwUFdJODc6OykGNX17SFxAREZFABc7UX97f05YQVAWCwE8NURIQEsoSQUMDF1KWnd4ZmxKLHsmbS0yKSw4MDtkbnUsIygrZ3sqMHd7FU9dSUQsIygoOjpnNC8qTlxFPzsbdA5EQlpCWC0kKnUvJiw1KCs9Nj9ddXVlLGlhbSw1KD5iJAAAAADKIqyX%24&vid=0&q=,DONE
LAND CRUISER,2016,GULF CORPORATION COUNCIL,LAND CRUISER,"FZJ7#,GDJ7#,GDJL7#,GRJ7#,HZJ7#,VDJ7#,VDJL7#",GRJ71L-RJMRKV,"ATM,MTM: MANUAL TRANSMISSION; Bu",07.2009 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwE_CxoyWHVEYV9GfGg6NWdzU1RKOzQ5OCoFNn54S19DR0VGAxQ4Unx4fE1bQlMVCAI_NkdLQ0grSgYPD15JWXR7ZW9JL3glbi4xKi87MzhnbXYvICsoZHgpM3R4FkxeSkcvICsrOTlkNywpTV9GPDgYdxRHQVlBWy4nKXYsJS82Kyg-NTxednZmL2pibi82KzpgJwAAAAB1NYZE%24&vid=0&q=,DONE
LAND CRUISER,2016,GULF CORPORATION COUNCIL,LAND CRUISER,"FZJ7#,GDJ7#,GDJL7#,GRJ7#,HZJ7#,VDJ7#,VDJL7#",GRJ76L-RKMNKV,"ATM,MTM: MANUAL TRANSMISSION; Bu",07.2009 - ...,https://partsouq.com/en/catalog/genuine/vehicle?c=Toyota&ssd=%24%2AKwFOemsHLgQfQ0oEDTZAfhYCIiU7SkVISVt0Rw8JOi4yNjQ3cmVJIw0JDTwqMyJkeXNORzY6MjlaO3d-fi84KAUKFB44XglUH19AW15KQkkWHAdeUVpZFQlYQgUJZz0vOzZeUVpaSEgVRl1YPC43TU5pBmU3MDQwKl9WWAddVF5HWllPRE0vBwcXXhsTH15HWksTVgAAAAAJtcfs%24&vid=0&q=,DONE
